City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Anloga,GH,5.7947,0.8973,81.82,81,100,7.7,overcast clouds
80,Nabire,ID,-3.3667,135.4833,85.26,68,19,2.59,few clouds
81,Faanui,PF,-16.4833,-151.75,81.34,72,29,7.2,light rain
82,Bonthe,SL,7.5264,-12.505,76.14,80,100,10.98,overcast clouds
83,Bairnsdale,AU,-37.8333,147.6167,63.05,76,100,1.01,overcast clouds
84,Champerico,GT,14.3,-91.9167,83.95,67,7,5.88,clear sky
85,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,77,75,10.36,broken clouds
86,Zabaykalsk,RU,49.6333,117.3167,38.86,25,100,13.42,light rain
87,Kabinda,CD,-6.1333,24.4833,65.98,96,52,1.74,broken clouds
88,Sao Jose Do Egito,BR,-7.4789,-37.2744,69.46,77,99,7.2,overcast clouds
89,Thatta,PK,24.7475,67.9235,79.92,63,0,16.22,clear sky
90,College,US,64.8569,-147.8028,52.12,33,75,6.91,broken clouds
91,East London,ZA,-33.0153,27.9116,61.83,72,58,15.88,broken clouds
92,Busselton,AU,-33.65,115.3333,68.56,50,100,11.3,light rain
93,Pahrump,US,36.2083,-115.9839,75.25,10,7,8.99,clear sky
94,Tuktoyaktuk,CA,69.4541,-133.0374,32.04,88,100,4.0,overcast clouds
95,Vaini,TO,-21.2,-175.2,78.96,83,75,5.75,broken clouds
96,Mala,PE,-12.6581,-76.6308,68.09,86,32,6.6,scattered clouds
97,Shimoda,JP,34.6667,138.95,69.19,77,75,3.62,broken clouds
98,Lowestoft,GB,52.4752,1.7516,45.95,93,6,15.17,clear sky
99,Hermanus,ZA,-34.4187,19.2345,58.78,72,96,3.56,overcast clouds
100,Severo-Kurilsk,RU,50.6789,156.125,34.0,90,88,1.81,overcast clouds
101,Fairbanks,US,64.8378,-147.7164,52.14,33,0,6.91,clear sky
102,Thompson,CA,55.7435,-97.8558,15.89,67,1,13.78,clear sky
103,Rakaia,NZ,-43.75,172.0167,68.38,44,0,10.49,clear sky
104,Pachino,IT,36.7186,15.0907,58.46,67,1,1.39,clear sky
105,Edd,ER,13.9297,41.6925,87.51,58,49,13.33,scattered clouds
106,Poum,NC,-20.2333,164.0167,77.58,70,94,15.03,overcast clouds
107,Vinh,VN,18.6667,105.6667,83.55,70,2,3.83,clear sky
108,Sheridan,US,44.8333,-106.9173,46.78,44,0,9.22,clear sky
109,Malanje,AO,-9.5402,16.341,62.13,89,95,1.54,overcast clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,72.37,89,73,6.71,broken clouds
111,Ketchikan,US,55.3422,-131.6461,46.38,87,100,5.75,moderate rain
112,Jinxiang,CN,27.4327,120.6062,72.0,85,89,7.23,overcast clouds
113,Durango,MX,24.8333,-104.8333,76.33,12,0,22.32,clear sky
114,Tuyen Quang,VN,21.8233,105.2181,78.96,85,100,2.15,overcast clouds
115,Chuy,UY,-33.6971,-53.4616,64.36,62,0,13.06,light rain
116,Boksitogorsk,RU,59.474,33.8485,39.6,95,100,8.32,light rain
117,Killybegs,IE,54.6333,-8.45,48.13,74,75,5.37,broken clouds
118,Clyde River,CA,70.4692,-68.5914,7.45,96,100,4.34,overcast clouds
119,Tigzirt,DZ,36.8886,4.1198,55.99,72,100,5.66,overcast clouds
120,Pochutla,MX,15.7432,-96.4661,82.81,63,41,5.35,scattered clouds
121,Georgetown,MY,5.4112,100.3354,84.13,79,20,0.0,few clouds
122,Fortuna,US,40.5982,-124.1573,59.94,72,0,12.66,clear sky
123,Margate,GB,51.3813,1.3862,48.31,84,0,7.0,clear sky
124,Baracoa,CU,20.3467,-74.4958,76.35,80,100,13.53,overcast clouds
125,Sept-Iles,CA,50.2001,-66.3821,37.06,70,100,7.34,overcast clouds
126,Neuquen,AR,-38.9516,-68.0591,57.09,38,0,24.16,clear sky
127,Atbasar,KZ,51.8,68.3333,33.12,54,7,7.87,clear sky
128,Linhares,BR,-19.3911,-40.0722,75.09,89,9,6.98,clear sky
129,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,80,13,18.12,few clouds
130,Placido De Castro,BR,-10.3353,-67.1856,74.46,98,91,2.64,overcast clouds
131,Guilin,CN,25.2819,110.2864,74.57,93,100,4.32,overcast clouds
132,Hambantota,LK,6.1241,81.1185,75.54,100,75,3.44,broken clouds
133,New Lenox,US,41.512,-87.9656,66.09,80,40,7.0,scattered clouds
134,La Ronge,CA,55.1001,-105.2842,32.45,74,100,8.14,overcast clouds
135,Benguela,AO,-12.5763,13.4055,74.12,89,80,3.18,broken clouds
136,Walvis Bay,NA,-22.9575,14.5053,58.96,73,0,11.12,clear sky
137,Tateyama,JP,34.9833,139.8667,66.87,75,11,1.54,few clouds
138,Cape Town,ZA,-33.9258,18.4232,57.9,79,0,8.99,clear sky
139,Iqaluit,CA,63.7506,-68.5145,20.7,85,100,13.0,overcast clouds
140,Totness,SR,5.8833,-56.3167,78.19,89,100,10.85,overcast clouds
141,Saquarema,BR,-22.92,-42.5103,74.19,80,99,8.01,overcast clouds
142,Mocuba,MZ,-16.8392,36.9856,69.01,99,38,4.23,scattered clouds
143,Kasongo-Lunda,CD,-6.4667,16.8167,71.26,95,96,1.45,overcast clouds
144,Klaksvik,FO,62.2266,-6.589,38.32,83,100,16.35,overcast clouds
145,Ahipara,NZ,-35.1667,173.1667,65.08,73,98,12.21,overcast clouds
146,Gazli,UZ,40.1333,63.45,59.85,51,0,9.33,clear sky
147,Richards Bay,ZA,-28.783,32.0377,66.49,92,100,11.07,light rain
148,Hasaki,JP,35.7333,140.8333,73.29,73,63,3.65,broken clouds
149,Ustye,RU,59.6304,39.736,36.82,90,100,8.93,overcast clouds
150,New Norfolk,AU,-42.7826,147.0587,56.91,80,100,1.68,overcast clouds
151,Bestobe,KZ,52.4994,73.0975,32.58,50,6,6.73,clear sky
152,Isangel,VU,-19.55,169.2667,79.45,67,100,18.43,overcast clouds
153,Ballina,AU,-28.8667,153.5667,73.58,72,99,12.48,overcast clouds
154,Grindavik,IS,63.8424,-22.4338,43.27,93,100,11.5,overcast clouds
155,Muromtsevo,RU,56.3724,75.2418,33.73,67,13,6.71,few clouds
156,Saint-Pierre,RE,-21.3393,55.4781,74.88,72,75,17.27,broken clouds
157,Harper,LR,4.375,-7.7169,80.31,84,100,2.8,moderate rain
158,Rawson,AR,-43.3002,-65.1023,57.36,34,1,27.34,clear sky
159,Ixtapa,MX,20.7,-105.2,76.23,73,0,8.05,clear sky
160,Cabo San Lucas,MX,22.8909,-109.9124,78.62,63,0,11.5,clear sky
161,Bengkulu,ID,-3.8004,102.2655,77.59,87,89,3.87,overcast clouds
162,Caravelas,BR,-17.7125,-39.2481,76.23,93,0,4.85,clear sky
163,Hay River,CA,60.8156,-115.7999,40.3,73,97,13.78,overcast clouds
164,Treinta Y Tres,UY,-33.2333,-54.3833,64.51,43,52,9.66,broken clouds
165,Kohima,IN,25.6667,94.1167,69.46,58,0,2.04,clear sky
166,Ponta Do Sol,PT,32.6667,-17.1,65.01,86,100,10.96,light rain
167,Strangnas,SE,59.3774,17.0312,35.94,82,1,5.77,clear sky
168,Norman Wells,CA,65.282,-126.8329,41.86,78,89,3.62,overcast clouds
169,Gigmoto,PH,13.7796,124.39,83.3,81,100,9.91,overcast clouds
170,Batagay,RU,67.6333,134.6333,19.13,85,100,3.33,overcast clouds
171,Kapaa,US,22.0752,-159.319,82.38,74,75,14.97,broken clouds
172,Ribeira Grande,PT,38.5167,-28.7,58.89,75,16,14.09,light rain
173,Hirara,JP,24.8,125.2833,78.33,89,5,12.53,clear sky
174,Rio Grande,BR,-32.035,-52.0986,63.95,85,0,18.19,clear sky
175,Moron,AR,-34.6534,-58.6198,70.05,70,100,9.64,overcast clouds
176,Vardo,NO,70.3705,31.1107,34.88,87,100,5.21,overcast clouds
177,San Patricio,US,28.017,-97.5169,79.9,86,9,16.06,clear sky
178,Sioux Lookout,CA,50.1001,-91.917,33.87,100,100,8.05,overcast clouds
179,Biak,ID,-0.9131,122.8766,83.46,68,4,0.49,clear sky
180,Tiksi,RU,71.6872,128.8694,4.71,95,93,3.53,overcast clouds
181,Shancheng,CN,34.7953,116.0817,66.61,94,100,5.03,moderate rain
182,Karratha,AU,-20.7377,116.8463,82.78,40,100,3.15,light rain
183,Vila Velha,BR,-20.3297,-40.2925,78.75,85,75,13.0,broken clouds
184,Vila Do Maio,CV,15.1333,-23.2167,75.99,80,6,13.04,clear sky
185,Santiago De Cao,PE,-7.9589,-79.2392,60.93,100,100,11.5,mist
186,Saint Anthony,US,45.0205,-93.218,44.2,69,100,21.85,overcast clouds
187,Castro,BR,-24.7911,-50.0119,59.74,94,2,5.21,clear sky
188,Novoagansk,RU,61.9449,76.6625,28.29,97,100,4.81,snow
189,Awjilah,LY,29.1081,21.2869,68.43,46,5,9.4,clear sky
190,Roma,US,43.2128,-75.4557,65.82,42,0,11.5,clear sky
191,Bykovo,RU,55.6361,38.0803,48.61,100,100,4.47,light intensity drizzle
192,Vicuna,CL,-30.0319,-70.7081,62.76,60,0,1.03,clear sky
193,Morgan City,US,29.6994,-91.2068,77.02,94,40,8.48,scattered clouds
194,Buin,CL,-33.7333,-70.75,63.73,78,100,1.7,moderate rain
195,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.52,96,100,1.88,overcast clouds
196,Yerbogachen,RU,61.2767,108.0108,29.48,74,100,7.85,overcast clouds
197,Owando,CG,-0.4819,15.8999,71.44,91,100,1.86,light rain
198,Bethel,US,41.3712,-73.414,50.09,61,0,4.61,clear sky
199,Samarai,PG,-10.6167,150.6667,84.58,69,79,14.52,broken clouds
200,Upernavik,GL,72.7868,-56.1549,0.05,94,40,6.93,scattered clouds
201,Mpanda,TZ,-6.3655,31.0409,65.37,100,100,0.83,moderate rain
202,Codrington,AU,-38.2667,141.9667,64.56,50,90,5.68,overcast clouds
203,Diego De Almagro,CL,-26.3667,-70.05,58.41,60,0,1.16,clear sky
204,Les Cayes,HT,18.2,-73.75,76.17,77,86,4.88,overcast clouds
205,Grand Gaube,MU,-20.0064,57.6608,75.38,71,88,8.01,overcast clouds
206,Fresnillo,MX,23.1667,-102.8833,81.95,12,13,20.74,few clouds
207,Lincoln,US,40.8,-96.667,49.28,53,100,20.71,overcast clouds
208,Belle Fourche,US,44.6714,-103.8522,40.51,90,100,14.43,overcast clouds
209,Kokkola,FI,63.8385,23.1307,34.93,91,0,1.14,clear sky
210,Varhaug,NO,58.6147,5.6457,42.89,72,24,4.43,few clouds
211,Abu Dhabi,AE,24.4667,54.3667,78.96,68,0,1.14,clear sky
212,Vestmannaeyjar,IS,63.4427,-20.2734,45.73,79,4,5.79,clear sky
213,Karpogory,RU,64.0019,44.4451,27.61,95,98,2.66,overcast clouds
214,Xunchang,CN,28.4543,104.715,67.24,79,100,2.26,overcast clouds
215,Lebu,CL,-37.6167,-73.65,51.39,77,7,6.11,clear sky
216,Port Lincoln,AU,-34.7333,135.8667,67.12,70,67,15.21,broken clouds
217,Meulaboh,ID,4.1363,96.1285,79.43,86,99,3.85,overcast clouds
218,Saravan,AM,39.7196,45.6483,50.54,67,100,3.29,overcast clouds
219,Taoudenni,ML,22.6783,-3.9836,77.32,26,0,12.03,clear sky
220,Aklavik,CA,68.2191,-135.0107,33.03,91,100,5.75,overcast clouds
221,Port Townsend,US,48.117,-122.7605,66.81,59,0,11.01,clear sky
222,Groton,US,41.3501,-72.0784,48.02,72,0,4.61,clear sky
223,Sambava,MG,-14.2667,50.1667,74.12,88,94,8.52,light rain
224,Alekseyevsk,RU,57.8406,108.3492,29.95,70,43,7.76,scattered clouds
225,Nizwa,OM,22.9333,57.5333,76.23,43,0,2.1,clear sky
226,Kaitangata,NZ,-46.2817,169.8464,58.05,67,43,18.59,scattered clouds
227,Rocha,UY,-34.4833,-54.3333,65.82,42,0,14.65,clear sky
228,Naryan-Mar,RU,67.6713,53.087,25.48,97,100,8.59,overcast clouds
